Timestep,Field_0,Field_1,Field_2,Field_3
0,0.042824968695640564,0.09143643081188202,0.041416242718696594,0.16298295557498932
1,0.04848870635032654,0.12057863175868988,0.04284024238586426,0.20301201939582825
2,0.05699693411588669,0.18262004852294922,0.04500435292720795,0.26178717613220215
3,0.06884491443634033,0.2701285779476166,0.04806272312998772,0.34553176164627075
4,0.08454731106758118,0.37572795152664185,0.05189564824104309,0.4490143656730652
5,0.10409796237945557,0.4851406514644623,0.05613391846418381,0.5685218572616577
6,0.1280488818883896,0.587496280670166,0.060585275292396545,0.6884663701057434
7,0.15646323561668396,0.6869284510612488,0.06674987077713013,0.8184532523155212
8,0.18848051130771637,0.7767904996871948,0.0753442645072937,0.8560779094696045
9,0.22395175695419312,0.8646879196166992,0.08657985925674438,0.8500019311904907
10,0.26308906078338623,0.9581179618835449,0.10061348974704742,0.8624254465103149
11,0.306881844997406,1.044435977935791,0.11756539344787598,0.8894517421722412
12,0.357174277305603,1.1148207187652588,0.13697510957717896,0.9139434099197388
13,0.417405366897583,1.1678199768066406,0.1587083786725998,0.9240021109580994
14,0.4871078431606293,1.1924161911010742,0.18167011439800262,0.9185448884963989
15,0.5715511441230774,1.206897258758545,0.20736023783683777,0.9055743217468262
16,0.6711175441741943,1.2123048305511475,0.2352064996957779,0.8944252729415894
17,0.7850861549377441,1.2139761447906494,0.2653626501560211,0.8897718787193298
18,0.9137400388717651,1.2153000831604004,0.29797711968421936,0.8933835029602051
19,1.049069881439209,1.2131726741790771,0.33177751302719116,0.9032796025276184
20,1.1899300813674927,1.213043451309204,0.36828577518463135,0.9183362126350403
21,1.325529932975769,1.211655616760254,0.40551087260246277,0.9360542297363281
22,1.4430434703826904,1.209125280380249,0.44310784339904785,0.9546830654144287
23,1.534708023071289,1.2061314582824707,0.4807906746864319,0.9746108055114746
24,1.5959367752075195,1.2040311098098755,0.5197904109954834,0.9963117837905884
25,1.6209230422973633,1.201127290725708,0.5579281449317932,1.0181576013565063
26,1.6136003732681274,1.1979429721832275,0.5960840582847595,1.0400748252868652
27,1.5836209058761597,1.1923890113830566,0.6329954266548157,1.0603750944137573
28,1.5396960973739624,1.186858892440796,0.6697795391082764,1.0794590711593628
29,1.490388035774231,1.1799795627593994,0.7066053152084351,1.0969632863998413
30,1.4418540000915527,1.1701629161834717,0.7428648471832275,1.1125903129577637
31,1.3982696533203125,1.1580123901367188,0.778914749622345,1.1259405612945557
32,1.3612064123153687,1.1426931619644165,0.8131693601608276,1.1367307901382446
33,1.330920696258545,1.1254732608795166,0.8459286689758301,1.1451764106750488
34,1.3061703443527222,1.1072947978973389,0.8785422444343567,1.1520744562149048
35,1.2873563766479492,1.0886881351470947,0.9093571305274963,1.157339096069336
36,1.273350477218628,1.070697546005249,0.938956618309021,1.1616653203964233
37,1.2635974884033203,1.0543603897094727,0.966567873954773,1.1653785705566406
38,1.2573447227478027,1.039888858795166,0.9923576712608337,1.1687963008880615
39,1.2542043924331665,1.027716040611267,1.0155737400054932,1.1718928813934326
40,1.2535127401351929,1.018088698387146,1.0370018482208252,1.1750092506408691
41,1.2548373937606812,1.0107746124267578,1.056542158126831,1.1781623363494873
42,1.257948637008667,1.0059103965759277,1.0734039545059204,1.1812770366668701
43,1.2624688148498535,1.003026008605957,1.0882025957107544,1.1843271255493164
44,1.2680619955062866,1.0020482540130615,1.1007380485534668,1.1873618364334106
45,1.2745318412780762,1.0027211904525757,1.1110453605651855,1.1905035972595215
